Feature	TOP 2015	TOP 2025
Overall, Purpose	Focused on improving transparency in journal publications through structured standards meant to support gradual, systemic change.	Centers on promoting the verifiability of empirical research claims, and is designed to be used by a wider range of organizations (journals, funders, institutions, and societies).
Organization of Standards	8 separate standards: Citation, Data Transparency, Analytic Code Transparency, Materials Transparency, Design & Analysis Transparency, Preregistration of Studies, Preregistration of Analysis Plans, Replication.	Organized into three clearer categories: Research Practices (7): study registration, study protocols, analysis plans, reporting, materials, data, code; Verification Practices (2): results transparency, computational reproducibility; Verification Studies (4): replication, registered reports, multiverse, many-analyst.
Levels of Implementation	Level 0: Not addressed or Adopted; Level 1: Disclosure; Level 2: Requirement; Level 3: Verification.	Level 1: Disclosed; Level 2: Shared & Cited; Level 3: Certified (third-party confirmation or independent verification).
Citation	Treated as its own standalone standard (citation of data, materials, and code).	Incorporated directly into Level 2 ("Shared & Cited") across all Research Practices to create consistency.
Preregistration	Two standards: preregistration of studies and preregistration of analysis plans. These were often interpreted together.	Broader, clearer language: study registration, study protocols, and analysis plans are now separate standards with clarified timing requirements.
Design & Analysis	Included as the "Design and Analysis Transparency" standard.	Renamed "Reporting Transparency", emphasizing the use of reporting guidelines (e.g., EQUATOR Network).
Verification	Implied verification appears only at Level 3 within each standard (e.g., independent reproducibility checks).	Split out more explicitly: Certification of sharing practices (Research Practices, Level 3) and Verification Practices for results transparency and computational reproducibility.
Replication	Replication was one of the eight standards; Registered Reports were treated as Level 3 within this standard.	Expanded into a broader category of Verification Studies: replication, Registered Reports (now separate), plus multiverse and many-analyst studies.
Intended Users	Designed primarily for journals.	Intended for journals and funders, preprint servers, universities, professional societies, and training programs.
Flexibility	Encouraged modular adoption. So, journals choose which standards and levels to implement.	Maintains flexibility but encourages more coordinated adoption across organizations to support broader, systemic change.
